:cityname (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statefips (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statename (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statecity (?:"?(?<current>.*?)"?),(?<remains>.*) string
:type (?:"?(?<current>.*?)"?),(?<remains>.*) string
:is_capital (?:"?(?<current>[nNyYfFtT])"?),(?<remains>.*) string
:sdo_gtype (?<current>^[0-9]*),(?<remains>.*) int
:sdo_srid (?<current>^[0-9]*),(?<remains>.*) int
:sdo_element_info_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
:sdo_ordinate_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
!enddescription
!data
 34,"33380","Inglewood-Finn Hill","53","Washington","5333380","census designated place","N",2001,8265,1,1,1,/-122.235000599177,47.7260017359008,/
 35,"16750","Coeur d'Alene","16","Idaho","1616750","city","N",2001,8265,1,1,1,/-116.784797660441,47.6977882320665,/
 36,"35940","Kirkland","53","Washington","5335940","city","N",2001,8265,1,1,1,/-122.193901055451,47.6846008513973,/
 37,"57535","Redmond","53","Washington","5357535","city","N",2001,8265,1,1,1,/-122.114799497516,47.6741981642962,/
 38,"67000","Spokane","53","Washington","5367000","city","N",2001,8265,1,1,1,/-117.414001477814,47.6722984225344,/
 39,"51515","Opportunity","53","Washington","5351515","census designated place","N",2001,8265,1,1,1,/-117.240501419655,47.649448405787,/
 40,"60772","Sahalee","53","Washington","5360772","census designated place","N",2001,8265,1,1,1,/-122.054100030788,47.6348991339239,/
 41,"63000","Seattle","53","Washington","5363000","city","N",2001,8265,1,1,1,/-122.350303657969,47.621799486495,/
 42,"05210","Bellevue","53","Washington","5305210","city","N",2001,8265,1,1,1,/-122.154998762544,47.6033897318423,/
 43,"54455","Pine Lake","53","Washington","5354455","census designated place","N",2001,8265,1,1,1,/-122.044899007206,47.5789489775572,/
 44,"45005","Mercer Island","53","Washington","5345005","city","N",2001,8265,1,1,1,/-122.230903606598,47.5692711026732,/
 45,"07695","Bremerton","53","Washington","5307695","city","N",2001,8265,1,1,1,/-122.702003492467,47.5489006069928,/
 91,"17000","Duluth","27","Minnesota","2717000","city","N",2001,8265,1,1,1,/-92.1179809763574,46.7810211023174,/
 92,"56625","Pullman","53","Washington","5356625","city","N",2001,8265,1,1,1,/-117.162002543276,46.7332496482602,/
 93,"54550","Moscow","16","Idaho","1654550","city","N",2001,8265,1,1,1,/-116.996803274044,46.7297706641293,/
 94,"12160","Cloquet","27","Minnesota","2712160","city","N",2001,8265,1,1,1,/-92.4944229059184,46.7290382325093,/
 95,"11160","Centralia","53","Washington","5311160","city","N",2001,8265,1,1,1,/-122.961997999388,46.7212181266069,/
 96,"78650","Superior","55","Wisconsin","5578650","city","N",2001,8265,1,1,1,/-92.059600847064,46.6968688932422,/
 97,"60825","Presque Isle","23","Maine","2360825","city","N",2001,8265,1,1,1,/-67.9872970591539,46.6860389910651,/
 98,"35600","Helena","30","Montana","3035600","city","Y",2001,8265,1,1,1,/-112.020401013228,46.5965194631802,/
