'HB', 'RZZ', 'I', NULL, 35,    38, 9, 6, 'Depth of reading below surface ', '(FT, M)'
'HC', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Height, ceiling ', '(FT, M)'
'HD', 'RZZ', 'I', NULL, 35,    38, 383, 6, 'Height, head ', '(FT, M)'
'HE', 'RZZ', 'I', NULL, 35,    38, 16, 6, 'Height, regulating gate ', '(FT, M)'
'HF', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Elevation, project powerhouse forebay ', '(FT, M)'
'HG', 'RZZ', 'I', NULL, 35,    38, 23, 6, 'Height, river stage ', '(FT, M)'
'HH', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Height of reading, elevation in MSL ', '(FT, M)'
'HI', 'RZZ', 'I', NULL, NULL,    NULL, 4, 6, 'Stage trend indicator ', '(coded, see Table 19)'
'HJ', 'RZZ', 'I', NULL, 35,    38, 16, 6, 'Height, spillway gate ', '(FT, M)'
'HK', 'RZZ', 'I', NULL, 35,    38, 383, 6, 'Height, lake above a specified datum ', '(FT, M)'
'HL', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Elevation, natural lake ', '(FT, M)'
'HM', 'RZZ', 'I', NULL, 35,    38, 383, 6, 'Height of tide, MLLW ', '(FT, M)'
'HN', 'RZN', 'I', 'HGIRZNZ', 35,    38, 23, 3, 'Height, river stage, daily minimum, translates to HGIRZNZ ', '(FT, M)'
'HO', 'RZZ', 'I', NULL, 35,    38, 23, 6, 'Height, flood stage ', '(FT, M)'
'HP', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Elevation, pool ', '(FT, M)'
'HQ', 'RZZ', 'I', NULL, NULL,    NULL, 0, 6, 'Distance from a ground reference point to the river''s edge used to estimate stage ', '(coded, see Chapter 7.4.6)'
'HR', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Elevation, lake or reservoir rule curve ', '(FT, M)'
'HS', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Elevation, spillway forebay ', '(FT, M)'
'HT', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Elevation, project tailwater stage ', '(FT, M)'
'HU', 'RZZ', 'I', NULL, 35,    38, 23, 6, 'Height, cautionary stage ', '(FT, M)'
'HW', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Height, spillway tailwater ', '(FT, M)'
'HX', 'RZX', 'I', 'HGIRZXZ', 35,    38, 23, 2, 'Height, river stage, daily maximum, translates to HGIRZXZ ', '(FT, M)'
'HY', 'RZZ', 'I', 'HGIRZZZ', 35,    38, 23, 6, 'Height, river stage at 7 a.m. local just prior to date-time stamp, translates to HGIRZZZ at 7 a.m. local time ', '(FT, M)'
'HZ', 'RZZ', 'I', NULL, NULL,    37, 10, 6, 'Elevation, freezing level ', '(KFT, KM)'
'IC', 'RZZ', 'I', NULL, 53,    53, 376, 6, 'Ice cover, river ', '(%)'
'IE', 'RZZ', 'I', NULL, 39,    37, 377, 6, 'Extent of ice from reporting area, upstream "+", downstream - ', '(MI, KM)'
'IO', 'RZZ', 'I', NULL, 35,    38, 378, 6, 'Extent of open water from reporting area, downstream "+", upstream - ', '(FT, M)'
'IR', 'RZZ', 'I', NULL, NULL,    NULL, 379, 6, 'Ice report type, structure, and cover ', '(coded, see Table 14)'
'IT', 'RZZ', 'I', NULL, 36,    34, 380, 6, 'Ice thickness ', '(IN, CM)'
'LA', 'RZZ', 'I', NULL, NULL,    7, 381, 6, 'Lake surface area ', '(KAC,KM2)'
'LC', 'RZZ', 'D', NULL, 81,    NULL, 382, 1, 'Lake storage volume change ', '(KAF,MCM)'
'LS', 'RZZ', 'I', NULL, 81,    NULL, 24, 6, 'Lake storage volume ', '(KAF,MCM)'
'MD', 'RZZ', 'I', NULL, NULL,    NULL, 0, 6, 'Dielectric Constant at depth, paired value vector ', '(coded, see Chapter 7.4.6 for format)'
'MI', 'RZZ', 'I', NULL, 36,    34, 0, 6, 'Moisture, soil index or API ', '(IN, CM)'
'ML', 'RZZ', 'I', NULL, 36,    34, 0, 6, 'Moisture, lower zone storage ', '(IN, CM)'
'MM', 'RZZ', 'I', NULL, 53,    53, 0, 6, 'Fuel moisture, wood ', '(%)'
'MN', 'RZZ', 'I', NULL, NULL,    NULL, 0, 6, 'Soil Salinity at depth, paired value vector ', '(coded, see Chapter 7.4.6 for format)'
'MS', 'RZZ', 'I', NULL, NULL,    NULL, 0, 6, 'Soil Moisture amount at depth ', '(coded, see Chapter 7.4.6)'
'MT', 'RZZ', 'I', NULL, 68,    67, 0, 6, 'Fuel temperature, wood probe ', '(DF, DC)'
'MU', 'RZZ', 'I', NULL, 36,    34, 0, 6, 'Moisture, upper zone storage ', '(IN, CM)'
'MV', 'RZZ', 'I', NULL, NULL,    NULL, 0, 6, 'Water Volume at Depth, paired value vector ', '(coded, see Chapter 7.4.6 for format)'
'MW', 'RZZ', 'I', NULL, 53,    53, 0, 6, 'Moisture, soil, percent by weight ', '(%)'
'NC', 'RZZ', 'I', NULL, 54,    NULL, 318, 6, 'River control switch ', '(0=manual river control, 1=open river uncontrolled)'
'NG', 'RZZ', 'I', NULL, 35,    NULL, 319, 6, 'Total of gate openings ', '(FT, M)'
'NL', 'RZZ', 'I', NULL, 17,    NULL, 320, 6, 'Number of large flash boards down ', '(whole number)'
'NN', 'RZZ', 'I', NULL, 54,    NULL, 321, 6, 'Number of the spillway gate reported ', '(used with HP, QS)'
'NO', 'RZZ', 'I', NULL, 35,    NULL, 319, 6, 'Gate opening for a specific gate ', '(coded, see Chapter 7.4.6)'
'NS', 'RZZ', 'I', NULL, 17,    NULL, 322, 6, 'Number of small flash boards down ', '(whole number)'
'PA', 'RZZ', 'I', NULL, 62,    NULL, 323, 6, 'Pressure, atmospheric ', '(IN-HG, KPA)'
'PC', 'RZZ', 'I', NULL, 36,    NULL, 19, 6, 'Precipitation, accumulator ', '(IN, MM)'
'PD', 'RZZ', 'I', NULL, 62,    NULL, 20, 6, 'Pressure, atmospheric net change during past 3 hours ', '(IN-HG, KPA)'
'PE', 'RZZ', 'I', NULL, 54,    NULL, 324, 6, 'Pressure, characteristic, NWS Handbook #7, table 10.7', '(NWS Handbook #7, table 10.7)'
'PF', 'CF', 'T', 'PPTCF', 36,    NULL, 325, 1, 'Precipitation, flash flood guidance, precipitation to initiate flooding, translates to PPTCF for 3-hour intervals ', '(IN, MM)'
'PL', 'RZZ', 'I', NULL, 62,    NULL, 326, 6, 'Pressure, sea level ', '(IN-HG, KPA)'
'PM', 'RZZ', 'I', NULL, 54,    NULL, 327, 6, 'Probability of measurable precipitation (dimensionless) ', '(coded, see Table 22)'
'PN', 'RZZ', ' ', NULL, 36,    NULL, 19, 1, 'Precipitation normal ', '(IN, MM)'
'PP', 'RZZ', 'D', NULL, 36,    40, 19, 1, 'Precipitation (includes liquid amount of new snowfall), actual increment', '(IN, MM)'
'PR', 'RZZ', 'D', NULL, 42,    NULL, 0, 1, 'Precipitation rate ', '(IN/day, MM/day)'
